dataset,model,f1_best,precision_cv,recall_cv,f1_cv,precision_cv_pa,recall_cv_pa,pa_f1_cv,precision_evt,recall_evt,f1_evt,precision_evt_pa,recall_evt_pa,pa_f1_evt,auc_pr,auc_pr_pa,processing_time_min
AIOPS,autoreg,0.323,0.471,0.295,0.313,0.928,0.753,0.81,0.326,0.286,0.304,0.777,0.944,0.847,0.254,0.94,0.5998
AIOPS,granite_ttm,0.322,0.5,0.305,0.311,0.788,0.695,0.71,0.33,0.277,0.295,0.702,0.748,0.715,0.259,0.769,2.7338
AIOPS,chronos,0.274,0.385,0.302,0.266,0.762,0.723,0.708,0.229,0.234,0.226,0.611,0.735,0.657,0.202,0.755,3.5318
AIOPS,timesfm,0.307,0.436,0.322,0.299,0.759,0.677,0.684,0.284,0.258,0.269,0.634,0.696,0.655,0.234,0.741,8.9563
AIOPS,patch_tst,0.301,0.384,0.331,0.286,0.726,0.686,0.657,0.262,0.253,0.256,0.604,0.692,0.633,0.23,0.725,5.2372
TODS,autoreg,0.459,0.52,0.453,0.451,0.843,0.641,0.722,0.449,0.434,0.441,0.927,0.451,0.596,0.456,0.807,0.0240
TODS,granite_ttm,0.272,0.448,0.279,0.264,0.708,0.479,0.501,0.205,0.213,0.209,0.74,0.348,0.442,0.211,0.472,0.0806
TODS,chronos,0.145,0.104,0.321,0.138,0.314,0.438,0.338,0.11,0.108,0.109,0.353,0.149,0.198,0.088,0.309,0.0995
TODS,timesfm,0.241,0.163,0.465,0.228,0.399,0.517,0.411,0.194,0.199,0.196,0.528,0.249,0.318,0.181,0.406,0.2712
TODS,patch_tst,0.146,0.117,0.523,0.142,0.265,0.452,0.285,0.091,0.09,0.091,0.28,0.083,0.125,0.091,0.252,0.1386
WSD,autoreg,0.39,0.537,0.335,0.354,0.924,0.805,0.828,0.379,0.323,0.331,0.676,0.949,0.774,0.304,0.93,0.7353
WSD,granite_ttm,0.319,0.524,0.281,0.286,0.886,0.807,0.802,0.324,0.241,0.263,0.66,0.867,0.733,0.234,0.861,3.3961
WSD,chronos,0.307,0.443,0.294,0.271,0.844,0.79,0.77,0.271,0.245,0.253,0.607,0.856,0.699,0.225,0.843,4.7369
WSD,timesfm,0.31,0.448,0.302,0.277,0.797,0.806,0.756,0.271,0.242,0.245,0.597,0.859,0.684,0.224,0.81,11.2683
WSD,patch_tst,0.3,0.509,0.274,0.266,0.88,0.807,0.797,0.317,0.221,0.243,0.657,0.841,0.72,0.216,0.86,6.4290
Yahoo,autoreg,0.884,0.861,0.894,0.858,0.908,0.919,0.897,0.713,0.836,0.758,0.725,0.863,0.776,0.868,0.914,0.2072
Yahoo,granite_ttm,0.74,0.683,0.808,0.658,0.715,0.757,0.644,0.738,0.67,0.689,0.74,0.666,0.686,0.708,0.725,0.3980
Yahoo,chronos,0.723,0.665,0.817,0.651,0.693,0.793,0.653,0.673,0.655,0.656,0.681,0.656,0.658,0.695,0.714,0.4329
Yahoo,timesfm,0.787,0.703,0.858,0.704,0.737,0.799,0.688,0.775,0.726,0.738,0.776,0.725,0.737,0.764,0.78,3.3322
Yahoo,patch_tst,0.727,0.648,0.789,0.627,0.678,0.742,0.617,0.735,0.654,0.677,0.736,0.649,0.673,0.685,0.704,0.5673
