dataset,model,mae,rmse,mape,smape,r2,wape,mase,max_ae,bias,nrmse,processing_time_min
AIOPS,autoreg,3.40779,6.46187,6.76275e+08,39.5565,0.421095,35.4215,3.79443,217.659,-0.066051,5.11196,3.3128
AIOPS,granite_ttm,2.73586,5.35924,5.35125e+08,37.2196,0.551659,29.4422,2.80932,220.85,-0.765056,4.15489,2.8443
AIOPS,chronos,1.89522,4.31367,1.46895e+08,31.6473,0.626951,20.6944,1.46471,155.848,0.030403,4.06229,0.6117
AIOPS,timesfm,2.34322,4.98722,2.2884e+08,38.2973,0.53875,26.7193,3.13918,222.282,-0.131324,4.58114,9.0812
AIOPS,patch_tst,4.77265,7.64117,6.96447e+08,50.3857,0.112788,45.1188,5.85561,220.01,-0.007167,7.21093,0.9960
TODS,autoreg,0.417938,0.661711,58.6615,31.7704,0.857317,19.9832,4.84722,3.54562,-5.9e-05,10.4198,0.1694
TODS,granite_ttm,0.873298,1.04656,227,88.246,0.453034,62.2062,9.74203,3.46677,0.04535,22.3887,0.1596
TODS,chronos,0.562677,0.693877,204.902,61.294,0.75978,40.1531,4.73099,2.69313,-0.061087,15.0853,0.0924
TODS,timesfm,0.250621,0.475354,48.3055,22.0694,0.903645,13.4156,2.91563,3.39853,0.001734,8.53748,0.3281
TODS,patch_tst,1.08717,1.27227,95.757,142.815,0.22227,76.8391,12.173,3.2052,0.019081,26.7538,0.1018
WSD,autoreg,527.116,724.041,1.65694e+09,24.0543,0.220153,20.6481,5.39724,2692.53,30.9424,12.06,4.9021
WSD,granite_ttm,271.117,370.397,1.47453e+09,14.0505,0.686373,12.1415,3.0414,2418.32,-80.0342,6.82262,4.6546
WSD,chronos,137.564,199.685,1.30541e+09,7.89787,0.849252,6.90966,1.42485,1423.59,16.675,5.79013,1.5889
WSD,timesfm,186.804,270.048,1.60519e+09,10.2881,0.78601,8.86542,2.19024,2504.35,-3.81119,5.27099,12.6732
WSD,patch_tst,671.748,822.033,1.53524e+09,31.4707,-0.113333,28.4506,7.3736,2634.82,0.405139,14.2728,2.2591
Yahoo,autoreg,2377.99,3357.78,3.77153e+08,45.2433,0.449473,33.6569,2.92358,25116.2,-518.383,11.8082,1.9014
Yahoo,granite_ttm,1791.85,2715.93,1.79921e+08,45.0722,0.468467,32.754,2.93271,25759.7,-755.699,11.4479,1.9040
Yahoo,chronos,890.772,2271.73,1.28194e+08,28.1442,0.670947,20.0164,1.52703,20760.9,32.0975,10.4213,1.6931
Yahoo,timesfm,1149.87,2100.28,1.5107e+08,25.5878,0.757322,17.8308,1.28284,25493.3,-398.989,6.60262,4.3760
Yahoo,patch_tst,4236.12,5046.9,4.32664e+08,77.5232,-0.084181,54.5357,5.50868,25226.4,-1136.87,17.705,1.6442
